adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
libjson-c5	0.18-r1	24.98 KiB	This package contains a library for javascript object notation backends.	
 
libjson-script20240329	2024.03.29~eb9bcb64-r1	4.72 KiB	Minimalistic JSON based scripting engine	
 
libltdl7	2.4.7-r1	13.46 KiB	A generic dynamic object loading library	
 
liblua5.1.5	5.1.5-r11	60.13 KiB	Lua is a powerful light-weight programming language designed for extending applications. Lua is also frequently used as a general-purpose, stand-alone language. Lua is free software. This package contains the Lua shared libraries, needed by other programs.	
 
liblucihttp-lua	2023.03.15~9b5b683f-r1	3.65 KiB	Lua binding for the LuCI HTTP utility library	
 
liblucihttp-ucode	2023.03.15~9b5b683f-r1	4.02 KiB	ucode binding for the LuCI HTTP utility library	
 
liblucihttp0	2023.03.15~9b5b683f-r1	7.31 KiB	LuCI HTTP utility library	
 
liblz4-1	1.10.0-r1	48.63 KiB	LZ4 is a compression codec that features a very fast encoder and an even faster decoder. This package provides the liblz4 shared library.	
 
libmbedtls21	3.6.2-r1	260.05 KiB	The aim of the mbedtls project is to provide a quality, open-source cryptographic library written in C and targeted at embedded systems. This package contains the mbedtls library.	
 
libmnl0	1.0.5-r1	6.40 KiB	libmnl is a minimalistic user-space library oriented to Netlink developers. There are a lot of common tasks in parsing, validating, constructing of both the Netlink header and TLVs that are repetitive and easy to get wrong. This library aims to provide simple helpers that allows you to re-use code and to avoid re-inventing the wheel. The main features of this library are: . * Small: the shared library requires around 30KB for an x86-based computer. . * Simple: this library avoids complexity and elaborated a	
 
libncurses6	6.4-r2	155.23 KiB	Terminal handling library (Unicode)	
 
libnftnl11	1.2.8-r1	49.82 KiB	libnftnl is a userspace library providing a low-level netlink programming interface (API) to the in-kernel nf_tables subsystem.	
 
libnghttp2-14	1.63.0-r1	61.52 KiB	C library implementing the framing layer of the HTTP/2 protocol. It can be used to build a HTTP/2-capable HTTP client or server	
 
libnl-core200	3.10.0-r1	36.07 KiB	Common code for all netlink libraries	
 
libnl-genl200	3.10.0-r1	7.34 KiB	Generic Netlink Library Functions	
 
libnl-tiny1	2023.12.05~965c4bf4-r1	13.03 KiB	This package contains a stripped down version of libnl	
 
libopenssl-conf	3.0.15-r1	6.48 KiB	The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Transport Layer Security (TLS) protocol as well as a full-strength general-purpose cryptography library. This package installs the OpenSSL configuration file /etc/ssl/openssl.cnf.	
 
libopenssl3	3.0.15-r1	1.43 MiB	The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Transport Layer Security (TLS) protocol as well as a full-strength general-purpose cryptography library. This package contains the OpenSSL shared libraries, needed by other programs.	
 
libpcap1	1.10.5-r1	107.61 KiB	This package contains a system-independent library for user-level network packet capture.	
 
libpthread	1.2.5-r4	726 B	POSIX thread library	
 
libqrencode	4.1.1-r1	15.18 KiB	Libqrencode is a C library for encoding data in a QR Code symbol, a kind of 2D symbology that can be scanned by handy terminals such as a mobile phone with CCD. The capacity of QR Code is up to 7000 digits or 4000 characters, and is highly robust.	
 
libreadline8	8.2-r2	124.10 KiB	The Readline library provides a set of functions for use by applications that allow users to edit command lines as they are typed in. Both Emacs and vi editing modes are available. The Readline library includes additional functions to maintain a list of previously-entered command lines, to recall and perhaps reedit those lines, and perform csh-like history expansion on previous commands.	
 
librrd1	1.0.50-r6	127.66 KiB	RRD is the Acronym for Round Robin Database. RRD is a system to store and display time-series data (i.e. network bandwidth, machine-room temperature, server load average). It stores the data in a very compact way that will not expand over time, and it presents useful graphs by processing the data to enforce a certain data density. It can be used either via simple wrapper scripts (from shell or Perl) or via frontends that poll network devices and put friendly user interface on it. This is version 1.0.x with	
 
libubox20240329	2024.03.29~eb9bcb64-r1	24.43 KiB	Basic utility library	
 
libubus-lua	2024.10.20~252a9b0c-r1	6.61 KiB	Lua binding for the OpenWrt RPC client	
 
libubus20241020	2024.10.20~252a9b0c-r1	9.75 KiB	OpenWrt RPC client library	
 
libuci20130104	2023.08.10~5781664d-r1	15.40 KiB	C library for the Unified Configuration Interface (UCI)	
 
libuclient20201210	2024.10.22~88ae8f20-r1	9.58 KiB	HTTP/1.1 client library	
 
libucode20230711	2024.07.22~b610860d-r3	66.37 KiB	The libucode package provides the shared runtime library for the ucode interpreter.	
 
libudebug	2023.12.06~6d3f51f9	4.02 KiB	udebug client library	
 
libustream-mbedtls20201210	2024.07.28~99bd3d2b-r1	5.20 KiB	ustream SSL Library (mbedtls)	
 
libyaml	0.2.5-r1	37.26 KiB	Fast YAML 1.1 parser and emitter library	
 
logd	2024.04.26~85f10530-r1	11.92 KiB	OpenWrt system log implementation	
 
lua	5.1.5-r11	5.22 KiB	Lua is a powerful light-weight programming language designed for extending applications. Lua is also frequently used as a general-purpose, stand-alone language. Lua is free software. This package contains the Lua language interpreter.	
 
luci	24.326.69161~3f907ab	837 B	Standard OpenWrt set including package management and attended sysupgrades support	
 
luci-app-attendedsysupgrade	24.326.69161~3f907ab	5.65 KiB	LuCI support for attended sysupgrades	
 
luci-app-banip	24.326.69161~3f907ab	11.92 KiB	LuCI support for banIP	
 
luci-app-commands	24.326.69161~3f907ab	5.79 KiB	LuCI Shell Command Module	
 
luci-app-firewall	24.326.69161~3f907ab	18.19 KiB	Firewall and port forwarding application	
 
luci-app-ksmbd	24.326.69161~3f907ab	2.77 KiB	Network Shares - Ksmbd the SMB kernel fileserver	
 
luci-app-openvpn	24.326.69161~3f907ab	12.92 KiB	LuCI Support for OpenVPN	
 
luci-app-package-manager	24.326.69161~3f907ab	10.43 KiB	Package management application	
 
luci-app-statistics	24.326.69161~3f907ab	39.04 KiB	LuCI Statistics Application	
 
luci-app-uhttpd	24.326.69161~3f907ab	4.10 KiB	uHTTPd Webserver Configuration	
 
luci-base	24.326.69161~3f907ab	123.41 KiB	LuCI core runtime	
 
luci-compat	24.326.69161~3f907ab	47.28 KiB	LuCI compatibility libraries	
 
luci-lib-base	24.326.69161~3f907ab	10.30 KiB	basic libraries for luci	
 
luci-lib-ip	24.326.69161~3f907ab	10.98 KiB	Lua library for IP calculation and routing information	
 
luci-lib-jsonc	24.326.69161~3f907ab	4.34 KiB	Lua binding for JSON-C	
 
luci-lib-nixio	24.326.69161~3f907ab	29.68 KiB	NIXIO POSIX library	
 
luci-lib-uqr	24.326.69161~3f907ab	5.42 KiB	µQR - micro QR: SVG QRcode generator JS library	
 
luci-light	24.326.69161~3f907ab	950 B	Light OpenWrt set including admin support and the default Bootstrap theme	
 
luci-lua-runtime	24.326.69161~3f907ab	29.02 KiB	LuCI Lua runtime libraries	
 
luci-mod-admin-full	24.326.69161~3f907ab	869 B	LuCI Administration - full-featured for full control	
 
luci-mod-dashboard	24.326.69161~3f907ab	7.83 KiB	LuCI Dashboard Pages	
 
luci-mod-network	24.326.69161~3f907ab	58.63 KiB	LuCI Network Administration	
 
luci-mod-status	24.326.69161~3f907ab	39.20 KiB	LuCI Status Pages	
 
luci-mod-system	24.326.69161~3f907ab	18.71 KiB	LuCI Administration - Global System Settings	
 
luci-proto-ipv6	24.326.69161~3f907ab	3.88 KiB	Support for DHCPv6/6in4/6to4/6rd/DS-Lite/IPIP6	
 
luci-proto-ppp	24.326.69161~3f907ab	3.02 KiB	Support for PPP/PPPoE/PPPoA/PPtP	
 
luci-proto-qmi	24.326.69161~3f907ab	2.28 KiB	Support for QMI
luci-proto-relay	24.326.69161~3f907ab	2.28 KiB	Support for relayd pseudo bridges	
 
luci-proto-wireguard	24.326.69161~3f907ab	11.39 KiB	Support for WireGuard VPN	
 
luci-ssl	24.326.69161~3f907ab	867 B	LuCI with HTTPS support (mbedtls as SSL backend)	
 
luci-theme-bootstrap	24.326.69161~3f907ab	18.93 KiB	Bootstrap Theme (default)	
 
mtd	26	10.84 KiB	This package contains an utility useful to upgrade from other firmware or older OpenWrt releases.	
 
netifd	2024.11.08~34eb11eb-r1	101.68 KiB	OpenWrt Network Interface Configuration Daemon	
 
nftables-json	1.1.1-r1	291.04 KiB	nftables userspace utility with JSON support	
 
odhcp6c	2024.09.25~b6ae9ffa-r1	26.64 KiB	Embedded DHCPv6-client for OpenWrt	
 
odhcpd-ipv6only	2024.05.08~a2988231-r1	40.09 KiB	odhcpd is a daemon for serving and relaying IP management protocols to configure clients and downstream routers. It tries to follow the RFC 6204 requirements for IPv6 home routers. This is a variant providing server services for RA, stateless and stateful DHCPv6, prefix delegation and can be used to relay RA, DHCPv6 and NDP between routed (non-bridged) interfaces in case no delegated prefixes are available.	
 
openssl-util	3.0.15-r1	306.93 KiB	The OpenSSL Project is a collaborative effort to develop a robust, commercial-grade, full-featured, and Open Source toolkit implementing the Transport Layer Security (TLS) protocol as well as a full-strength general-purpose cryptography library. This package contains the OpenSSL command-line utility.	
 
openvpn-easy-rsa	3.2.1-r1	51.49 KiB	CLI utility to build and manage a PKI CA.	
 
openvpn-mbedtls	2.6.12-r1	212.85 KiB	Open source VPN solution using mbedTLS	
 
openwrt-keyring	2024.11.01~fbae29d7-r2	1.03 KiB	The keyring of with the developer using and gpg public keys.	
 
ppp	2.5.1-r1	133.34 KiB	This package contains the PPP (Point-to-Point Protocol) daemon.	
 
ppp-mod-pppoe	2.5.1-r1	12.49 KiB	This package contains a PPPoE (PPP over Ethernet) plugin for ppp.	
 
procd	2024.11.13~7330fa55-r1	53.22 KiB	OpenWrt system process manager	
 
procd-seccomp	2024.11.13~7330fa55-r1	15.55 KiB	OpenWrt process seccomp helper + utrace	
 
procd-ujail	2024.11.13~7330fa55-r1	41.83 KiB	OpenWrt process jail helper	
 
px5g-mbedtls	11	5.47 KiB	Px5g is a tiny standalone X.509 certificate generator. It suitable to create key files and certificates in DER and PEM format for use with stunnel, uhttpd and others.	
 
qrencode	4.1.1-r1	9.89 KiB	Qrencode is a C program for encoding data in a QR Code symbol, a kind of 2D symbology that can be scanned by handy terminals such as a mobile phone with CCD. The capacity of QR Code is up to 7000 digits or 4000 characters, and is highly robust.	
 
relayd	2023.01.28~f646ba40-r1	10.05 KiB	Transparent routing / relay daemon	
 
resolveip	2	2.27 KiB	This package contains the small resolveip utility which can be used by scripts to turn host names into numeric IP addresses. It supports IPv4 and IPv6 resolving and has a configurable timeout to guarantee a certain maximum runtime in case of slow or defunct DNS servers.	
 
rpcd	2024.09.17~9f4b86e7-r1	23.32 KiB	This package provides the UBUS RPC backend server to expose various functionality to frontend programs via JSON-RPC.	
 
rpcd-mod-file	2024.09.17~9f4b86e7-r1	6.78 KiB	Provides ubus calls for file and directory operations.	
 
rpcd-mod-iwinfo	2024.09.17~9f4b86e7-r1	7.88 KiB	Provides ubus calls for accessing iwinfo data.	
 
rpcd-mod-luci	20240305-r1	13.38 KiB	Provides LuCI backend ubus RPC operations.	
 
rpcd-mod-rpcsys	2024.09.17~9f4b86e7-r1	4.00 KiB	Provides ubus calls for sysupgrade and password changing.	
 
rpcd-mod-rrdns	20170710	4.00 KiB	Provides rapid mass reverse DNS lookup functionality.	
 
rpcd-mod-ucode	2024.09.17~9f4b86e7-r1	7.86 KiB	Allows implementing plugins using ucode scripts.	
 
rrdtool1	1.0.50-r6	11.31 KiB	RRD is the Acronym for Round Robin Database. RRD is a system to store and display time-series data (i.e. network bandwidth, machine-room temperature, server load average). It stores the data in a very compact way that will not expand over time, and it presents useful graphs by processing the data to enforce a certain data density. It can be used either via simple wrapper scripts (from shell or Perl) or via frontends that poll network devices and put friendly user interface on it. This is version 1.0.x with	
 
